Actif;Date;Close
ITB.F;18/02/2010;23,05
ITB.F;17/02/2010;23
ITB.F;16/02/2010;23,18
ITB.F;15/02/2010;23,67
ITB.F;12/02/2010;23,855
ITB.F;11/02/2010;23,2
ITB.F;10/02/2010;23,09
ITB.F;09/02/2010;23,23
ITB.F;08/02/2010;23,65
ITB.F;05/02/2010;23,685
ITB.F;04/02/2010;23,47
ITB.F;03/02/2010;23,01
ITB.F;02/02/2010;22,88
ITB.F;01/02/2010;22,88
ITB.F;29/01/2010;23,12
ITB.F;28/01/2010;23,06
ITB.F;27/01/2010;23,25
ITB.F;26/01/2010;23,055
ITB.F;25/01/2010;23
ITB.F;22/01/2010;22,85
ITB.F;21/01/2010;22,89
ITB.F;20/01/2010;23,16
ITB.F;19/01/2010;23,38
ITB.F;18/01/2010;23,14
ITB.F;15/01/2010;22,77
ITB.F;14/01/2010;22,15
ITB.F;13/01/2010;21,7
ITB.F;12/01/2010;21,6
ITB.F;11/01/2010;21,6
ITB.F;08/01/2010;21,83
ITB.F;07/01/2010;21,75
ITB.F;05/01/2010;21,64
ITB.F;04/01/2010;22
ITB.F;30/12/2009;21,95
ITB.F;29/12/2009;22,04
ITB.F;28/12/2009;21,99
ITB.F;22/12/2009;21,8
ITB.F;21/12/2009;21,57
ITB.F;18/12/2009;21,5
ITB.F;17/12/2009;21,42
ITB.F;16/12/2009;21,58
ITB.F;15/12/2009;21
ITB.F;14/12/2009;21,5
ITB.F;11/12/2009;21,14
ITB.F;10/12/2009;20,88
ITB.F;09/12/2009;21,1
ITB.F;08/12/2009;20,9
ITB.F;07/12/2009;21,21
ITB.F;04/12/2009;21,3
ITB.F;03/12/2009;20,42
ITB.F;02/12/2009;20
ITB.F;01/12/2009;19,57
ITB.F;30/11/2009;19,5
ITB.F;27/11/2009;19,79
ITB.F;26/11/2009;20,12
ITB.F;25/11/2009;20,3
ITB.F;24/11/2009;20,57
ITB.F;20/11/2009;20,54
ITB.F;19/11/2009;21,03
ITB.F;18/11/2009;20,53
ITB.F;17/11/2009;21,14
ITB.F;16/11/2009;20,91
ITB.F;13/11/2009;21
ITB.F;12/11/2009;20,66
ITB.F;11/11/2009;20,65
ITB.F;09/11/2009;20,52
ITB.F;06/11/2009;20,25
ITB.F;05/11/2009;19,71
ITB.F;04/11/2009;19,61
ITB.F;03/11/2009;19,52
ITB.F;30/10/2009;19,96
ITB.F;29/10/2009;19,95
ITB.F;27/10/2009;19,88
ITB.F;26/10/2009;20,1
ITB.F;23/10/2009;19,97
ITB.F;22/10/2009;20,08
ITB.F;21/10/2009;20,15
ITB.F;20/10/2009;20,13
ITB.F;19/10/2009;20,4
ITB.F;16/10/2009;20,2
ITB.F;15/10/2009;19,53
ITB.F;14/10/2009;19,45
ITB.F;13/10/2009;19,25
ITB.F;12/10/2009;19,73
ITB.F;06/10/2009;19,54
ITB.F;02/10/2009;19,86
ITB.F;01/10/2009;20,18
ITB.F;29/09/2009;19,84
ITB.F;25/09/2009;19,96
ITB.F;23/09/2009;19,86
ITB.F;22/09/2009;19,72
ITB.F;21/09/2009;19,53
ITB.F;17/09/2009;19,71
ITB.F;16/09/2009;19,65
ITB.F;14/09/2009;20,5
ITB.F;11/09/2009;20,38
ITB.F;10/09/2009;19,9
ITB.F;09/09/2009;19,5
ITB.F;04/09/2009;19,55
ITB.F;03/09/2009;19,98
ITB.F;02/09/2009;20,14
ITB.F;01/09/2009;19,7
ITB.F;31/08/2009;19,71
ITB.F;28/08/2009;19,51
ITB.F;27/08/2009;19,55
ITB.F;26/08/2009;20,08
ITB.F;25/08/2009;19,9
ITB.F;24/08/2009;19,92
ITB.F;21/08/2009;20,38
ITB.F;20/08/2009;20
ITB.F;19/08/2009;20,04
ITB.F;18/08/2009;19,6
ITB.F;17/08/2009;19,6
ITB.F;14/08/2009;20,14
ITB.F;13/08/2009;19,96
ITB.F;12/08/2009;19,99
ITB.F;10/08/2009;19,68
ITB.F;07/08/2009;19,59
ITB.F;06/08/2009;19,65
